,Class,Post_NM,ADDR,ADDR_Road,경도,위도
39,서울지방우정청,서울연세대학교우체국,서울특별시 서대문구 신촌동 134,서울특별시 서대문구 연세로 50,126.9390292,37.5671131
40,서울지방우정청,서울이화여자대학교우체국,서울특별시 서대문구 대현동 11-1,서울특별시 서대문구 이화여대길 52,126.9472448,37.5617396
41,서울지방우정청,경찰청우편취급국,서울특별시 서대문구 미근동 209,서울특별시 서대문구 통일로 97,126.9674929,37.5633647
42,서울지방우정청,서울미근동우편취급국,서울특별시 서대문구 충현동 464,서울특별시 서대문구 서소문로 21,126.964101,37.5598996
43,서울지방우정청,서울독립문우편취급국,서울특별시 서대문구 현저동 200  극동상가 127호 ,서울특별시 서대문구 독립문공원길 13,126.9585393,37.5719126
44,서울지방우정청,서울홍제3동우편취급국,서울특별시 서대문구 홍제동 278-100,서울특별시 서대문구 간호대로 11-24,126.9480118,37.5958996
45,서울지방우정청,서울홍은2동우편취급국,서울특별시 서대문구 홍은동 275-24,서울특별시 서대문구 연희로 261-28,126.9345514,37.5798168
46,서울지방우정청,서울홍은미성우편취급국,서울특별시 서대문구 홍은동 204-13,서울특별시 서대문구 연희로41길 37,126.9352292,37.5903564
47,서울지방우정청,서울남가좌1동우편취급국,서울특별시 서대문구 남가좌동 105-1,서울특별시 서대문구 모래내로 143,126.9172637,37.5695278
48,서울지방우정청,명지대학교우편취급국,서울특별시 서대문구 남가좌동 50-3,서울특별시 서대문구 거북골로 34,126.9230255,37.580597
49,서울지방우정청,동대문우체국,서울특별시 동대문구 신설동 117-23,서울특별시 동대문구 천호대로 4,127.0239418,37.5749681
50,서울지방우정청,서울청량리우체국,서울특별시 동대문구 청량리1동 286-1,서울특별시 동대문구 홍릉로 10,127.0451464,37.5812886
51,서울지방우정청,서울전농동우체국,서울특별시 동대문구 전농4동 295-134,서울특별시 동대문구 전농로 131,127.0575406,37.5767556
52,서울지방우정청,서울휘경동우체국,서울특별시 동대문구 휘경동 191-19,서울특별시 동대문구 회기로 201,127.0581719,37.5903568
53,서울지방우정청,서울장안동우체국,서울특별시 동대문구 장안동 398-8,서울특별시 동대문구 한천로14길 53,127.065705,37.5668795
54,서울지방우정청,서울이문동우체국,서울특별시 동대문구 이문동 291-31,서울특별시 동대문구 이문로 133,127.0612332,37.5985338
55,서울지방우정청,서울장안2동우체국,서울특별시 동대문구 장안동 301-1,서울특별시 동대문구 사가정로 240,127.0715823,37.578587
56,서울지방우정청,서울제기동우체국,서울특별시 동대문구 제기동 900-1,서울특별시 동대문구 고산자로 476,127.0389184,37.5821386
